INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,NIFTY     ,28/06/2018,00010200.00,CE      ,00000536.70,00000540.00,00000521.00,00000526.00,000000000086250,             6300,              084,              065,       67615725.00,        3355725.00
OPTIDX    ,NIFTY     ,28/06/2018,00010200.00,PE      ,00000062.10,00000069.35,00000062.10,00000065.45,000000001991925,           947475,            12633,             1212,     9725536612.50,       61291612.50
OPTIDX    ,NIFTY     ,28/06/2018,00010300.00,CE      ,00000457.00,00000464.00,00000439.40,00000442.75,000000000093375,             7500,              100,              067,       80637858.75,        3387858.75
OPTIDX    ,NIFTY     ,28/06/2018,00010300.00,PE      ,00000079.30,00000086.80,00000078.40,00000082.70,000000000199425,           122625,             1635,              848,     1273102421.25,       10064921.25
OPTIDX    ,NIFTY     ,28/06/2018,00010400.00,CE      ,00000382.05,00000384.95,00000361.00,00000362.30,000000000124800,            14625,              195,              147,      157511981.25,        5411981.25
OPTIDX    ,NIFTY     ,28/06/2018,00010400.00,PE      ,00000099.00,00000108.00,00000097.25,00000103.40,000000000176475,            90450,             1206,              726,      949970880.00,        9290880.00
OPTIDX    ,NIFTY     ,28/06/2018,00010500.00,CE      ,00000305.90,00000325.10,00000288.00,00000296.75,000000000524775,            54975,              733,              444,      593803455.00,       16565955.00
OPTIDX    ,NIFTY     ,28/06/2018,00010500.00,PE      ,00000126.60,00000136.50,00000122.15,00000129.80,000000000471075,           137925,             1839,             1075,     1465810158.75,       17597658.75
OPTIDX    ,NIFTY     ,28/06/2018,00010600.00,CE      ,00000244.60,00000247.45,00000224.45,00000231.65,000000000288075,           100950,             1346,              834,     1093689693.75,       23619693.75
OPTIDX    ,NIFTY     ,28/06/2018,00010600.00,PE      ,00000153.00,00000170.75,00000153.00,00000162.60,000000000905775,           318600,             4248,             1080,     3428088026.25,       50928026.25
OPTIDX    ,NIFTY     ,28/06/2018,00010700.00,CE      ,00000188.35,00000188.35,00000167.55,00000175.35,000000000384300,           118800,             1584,             1051,     1292345778.75,       21185778.75
OPTIDX    ,NIFTY     ,28/06/2018,00010700.00,PE      ,00000193.45,00000211.00,00000190.75,00000202.10,000000000145275,            97950,             1306,              887,     1067553701.25,       19488701.25
OPTIDX    ,NIFTY     ,28/06/2018,00010750.00,CE      ,00000149.10,00000149.10,00000149.00,00000149.00,000000000001350,              150,              002,              002,        1634857.50,          22357.50
OPTIDX    ,NIFTY     ,28/06/2018,00010800.00,CE      ,00000137.30,00000137.35,00000123.10,00000129.55,000000000346500,           113475,             1513,              908,     1240308168.75,       14778168.75
OPTIDX    ,NIFTY     ,28/06/2018,00010800.00,PE      ,00000241.90,00000261.55,00000238.00,00000251.70,000000000276075,            66375,              885,              617,      733371363.75,       16521363.75
OPTIDX    ,NIFTY     ,28/06/2018,00010900.00,CE      ,00000094.55,00000096.50,00000086.40,00000089.75,000000000251925,           143625,             1915,             1159,     1578612420.00,       13099920.00
OPTIDX    ,NIFTY     ,28/06/2018,00010900.00,PE      ,00000295.00,00000323.10,00000295.00,00000311.10,000000000581475,            38175,              509,              304,      427740806.25,       11633306.25
OPTIDX    ,NIFTY     ,28/06/2018,00011000.00,CE      ,00000065.45,00000066.70,00000058.30,00000060.80,000000000745350,           278475,             3713,             2174,     3080669467.50,       17444467.50
OPTIDX    ,NIFTY     ,28/06/2018,00011000.00,PE      ,00000370.35,00000390.20,00000360.00,00000377.80,000000000383025,            75525,             1007,              680,      858927401.25,       28152401.25
OPTIDX    ,NIFTY     ,28/06/2018,00011100.00,CE      ,00000043.00,00000043.35,00000037.55,00000039.25,000000000115050,            87900,             1172,              711,      979228578.75,        3538578.75
OPTIDX    ,NIFTY     ,28/06/2018,00011100.00,PE      ,00000448.65,00000448.65,00000448.50,00000448.50,000000000001200,              225,              003,              003,        2598431.25,         100931.25
OPTIDX    ,NIFTY     ,28/06/2018,00011200.00,CE      ,00000026.80,00000028.10,00000023.65,00000024.55,000000000097350,           133200,             1776,              936,     1495273110.00,        3433110.00
OPTIDX    ,NIFTY     ,28/06/2018,00011200.00,PE      ,00000532.65,00000532.65,00000532.65,00000532.65,000000000005325,              150,              002,              002,        1759897.50,          79897.50
OPTIDX    ,NIFTY     ,28/06/2018,00011300.00,CE      ,00000015.60,00000017.75,00000014.85,00000015.40,000000000117225,            77250,             1030,              520,      874174875.00,        1249875.00
OPTIDX    ,NIFTY     ,28/06/2018,00011400.00,CE      ,00000009.65,00000011.65,00000009.20,00000009.60,000000000153375,            32850,              438,              257,      374834520.00,         344520.00
OPTIDX    ,NIFTY     ,28/06/2018,00011500.00,CE      ,00000009.40,00000009.75,00000008.00,00000008.45,000000000211650,            50025,              667,              309,      575728597.50,         441097.50
OPTIDX    ,NIFTY     ,28/06/2018,00011500.00,PE      ,00000810.00,00000829.50,00000802.30,00000826.80,000000000020325,             4725,              063,              039,       58182487.50,        3844987.50
OPTIDX    ,NIFTY     ,28/06/2018,00011600.00,CE      ,00000008.80,00000008.80,00000005.30,00000006.85,000000000001125,              525,              007,              007,        6093450.00,           3450.00
OPTIDX    ,NIFTY     ,28/06/2018,00011700.00,CE      ,00000002.20,00000005.50,00000002.20,00000005.50,000000000000525,              450,              006,              002,        5267227.50,           2227.50
OPTIDX    ,NIFTY     ,28/06/2018,00011800.00,CE      ,00000007.85,00000007.85,00000007.85,00000007.85,000000000000300,              075,              001,              001,         885588.75,            588.75
OPTIDX    ,NIFTY     ,28/06/2018,00011900.00,CE      ,00000005.65,00000005.65,00000003.05,00000003.05,000000000000900,              375,              005,              005,        4463876.25,           1376.25
OPTIDX    ,NIFTY     ,28/06/2018,00011900.00,PE      ,00001205.00,00001205.00,00001205.00,00001205.00,000000000000150,              150,              002,              002,        1965750.00,         180750.00
